Action,Coin,Price,Quantity,Cash,Portfolio,Profit,Commission
Buy,MATH-USD,0.3062,321358.5891574134,1009.6000000000204,{'MATH-USD': np.float64(321358.5891574134)},0.0,590.4
Buy,MATH-USD,0.3062,3244.4363161333113,10.192921600000204,{'MATH-USD': np.float64(324603.0254735467)},0.0,5.960678400000121
Sell,MATH-USD,0.304,324603.0254735467,98097.43674709446,{'MATH-USD': np.float64(0.0)},98679.3197439582,592.0759184637492
Buy,MATH-USD,0.3011,320584.11743321473,990.3917213986715,{'MATH-USD': np.float64(320584.11743321473)},0.0,579.1672665548457
Sell,MATH-USD,0.3011,320584.11743321473,96939.10221398478,{'MATH-USD': np.float64(0.0)},96527.87775914095,579.1672665548457
Buy,MATH-USD,0.3011,316798.66017456335,978.6971759524022,{'MATH-USD': np.float64(316798.66017456335)},0.0,572.328459471366
Sell,MATH-USD,0.3034,316798.66017456335,96518.71039193314,{'MATH-USD': np.float64(0.0)},96116.71349696252,576.7002809817751
Buy,KARRAT-USD,0.4628,205216.96418682413,974.4529001169576,"{'MATH-USD': np.float64(0.0), 'KARRAT-USD': np.float64(205216.96418682413)}",0.0,569.8464661539732
Sell,KARRAT-USD,0.4642,205216.96418682413,95664.59738698759,"{'MATH-USD': np.float64(0.0), 'KARRAT-USD': np.float64(0.0)}",95261.71477552377,571.5702886531426
Buy,KARRAT-USD,0.4621,203709.07558709325,965.8297752190265,"{'MATH-USD': np.float64(0.0), 'KARRAT-USD': np.float64(203709.07558709325)}",0.0,564.8037829727748
